"document_id","field_name","matched_expression","source_type","location","heading","basis","confidence"
"RFP-000048","과업 범위","구축 범위","body_sentence","을지대학교_을지대학교 비교과시스템 개발.md#L306","2. 구축 범위","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000100","과업 범위","구축범위","front_matter","한영대학_한영대학교 특성화 맞춤형 교육환경 구축 - 트랙운영 학사정보.md#L86","3. 구축범위","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000054","사업 개요","과업명","body_table","재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발.md#L5","과업명 광주정책연구아카이브(GPA) 시스템 개발","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000083","사업 개요","과업명","front_matter","한국수자원공사_건설통합시스템(CMS) 고도화.md#L26","1. 과업명 : 건설통합시스템(CMS) 고도화","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000099","사업 개요","과업명","body_table","한국해양조사협회_2024년 항해용 간행물 품질관리 업무보조 시스템 구축.md#L3","과업명 2024년 항해용 간행물 품질관리 업무보조 시스템 구축","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000007","사업 개요","용역명","body_sentence","KOICA 전자조달_[긴급] [지문] [국제] 우즈베키스탄 열린 의정활동 상하원 .md#L2671","(용역명)","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000018","사업 개요","용역명","front_matter","국가철도공단_철도인프라 디지털트윈 정보화전략계획(ISP) 수립 용역(변.md#L119","용역명: 철도인프라 디지털트윈 정보화전략계획(ISP) 수립","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000035","사업 개요","용역명","front_matter","부산관광공사_경영정보시스템 기능개선.md#L4","[용역명 : 경영정보시스템 기능개선]","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000071","사업 개요","용역명","front_matter","한국농어촌공사_네팔 수자원관리 정보화사업-Pilot 시스템 구축용역.md#L151","용역명 : 네팔 수자원관리 정보화사업 Pilot 시스템 구축","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000050","제출 방식","제안서 접수","body_table","인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에 .md#L819","제안서 접수 ∘접수기간 : 2025. 2. 20.(목) 9:00 ~ 17:00 ※ 점심시간(12:00~13:00) 제외 ∘접수장소 : 인천광역시 동구청 본관 5층 문화관광과 ∘접수방법 : 입찰등록 및 제안서 등 일체","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
"RFP-000061","필수 제출 서류","입찰 등록 서류","body_sentence","조선대학교_(재공고)2024 조선대학교 SW중심대학 사업관리시스템(WeHub) 구.md#L1390","입찰 등록 서류","공식 원문의 Markdown 제목/표 왼쪽 항목 칸을 먼저 수집하고 발주 사업의 기존 12필드 역할을 직접 확인함","source_reviewed_new_alias"
